video_id,watch time (minutes),viewer_id
s8012,37,984
s27,28,450
s4363,19,437
s7847,26,859
s1826,16,472
s929,41,764
s4424,22,151
s722,22,600
s4495,22,549
s2583,35,376
s8758,5,834
s1818,27,179
s2694,20,875
s615,13,282
s8221,1,244
s4747,35,813
s3840,37,85
s6454,36,50
s3799,3,596
s5652,30,803
s4478,29,870
s6399,25,572
s3810,38,807
s7467,47,666
s3321,29,263
s5481,30,460
s5764,0,872
s5388,44,617
s2369,21,675
s5415,14,136
s5952,22,444
s5993,38,927
s3198,40,903
s5743,27,164
s743,14,312
s4925,9,900
s8139,25,384
s4475,7,285
s2562,20,415
s2404,24,727
s5482,12,731
s1236,0,253
s5740,29,511
s5685,20,647
s1705,50,868
s7766,21,678
s7997,10,936
s2654,35,148
s7744,5,517
s2594,47,207
s6768,24,260
s381,45,701
s936,16,56
s2944,20,264
s8543,15,609
s8063,16,139
s6492,15,124
s2546,43,228
s3492,49,875
s8729,43,998
s4471,13,649
s7623,43,818
s4385,6,73
s8536,29,65
s949,30,47
s6024,12,161
s130,22,150
s8625,12,296
s1550,33,257
s5554,24,387
s2814,17,475
s7646,6,340
s4741,2,348
s3640,46,455
s5381,19,938
s4185,38,484
s7051,18,258
s1874,32,645
s4267,10,91
s5656,44,615
s7802,2,880
s7209,6,370
s4723,24,445
s644,14,157
s7192,1,429
s2850,12,73
s5803,20,810
s5427,7,88
s224,27,866
s6524,50,571
s1218,43,840
s4979,21,119
s331,13,1000
s5633,35,149
s7912,7,793
s4060,1,362
s4447,18,128
s3900,24,104
s1631,37,861
s6100,50,349
s253,46,345
s6666,9,781
s2152,13,862
s7486,43,824
s8781,39,215
s2621,30,167
s334,14,300
s7310,7,162
s8389,7,337
s6989,2,117
s8229,5,24
s8674,4,200
s2461,36,135
s681,28,157
s2256,11,222
s1222,50,700
s3694,24,651
s8045,21,836
s2156,40,104
s4894,27,509
s7380,22,899
s439,33,356
s1389,39,25
s5113,24,94
s5209,30,935
s5508,12,573
s2747,44,163
s3080,26,380
s725,29,564
s4338,34,614
s7268,23,443
s2509,38,886
s5809,37,679
s241,18,485
s6928,47,470
s1757,5,607
s5947,0,528
s3903,2,726
s2206,17,562
s714,20,367
s2098,37,419
s1033,32,460
s5627,48,334
s888,3,919
s1842,31,149
s2762,19,818
s1636,37,830
s1900,38,909
s1809,32,864
s5103,8,287
s6631,49,872
s2861,35,224
s1114,35,397
s1281,19,529
s3574,41,46
s7373,20,52
s2427,16,5
s545,28,611
s1359,24,820
s6718,25,36
s5689,41,569
s6303,36,638
s537,14,19
s5778,1,293
s7576,18,498
s5950,20,60
s7550,19,917
s4786,41,899
s2723,47,30
s864,30,213
s8314,3,807
s5399,15,829
s1837,33,625
s2866,42,756
s5268,36,778
s3802,31,270
s4650,12,120
s6126,25,91
s2499,34,434
s817,43,459
s6081,25,893
s3445,12,692
s6695,38,330
s3542,27,327
s4819,44,240
s1255,23,472
s3,21,622
s1822,17,782
s4748,39,42
s6154,26,788
s3884,17,15
s1051,24,983
s3354,13,512
s2138,46,677
s6241,29,187
s8682,12,143
s8148,27,975
s1364,17,729
s3357,16,423
s5945,27,304
s86,12,984
s6862,38,71
s2202,40,717
s6204,17,653
s3749,4,372
s5839,45,773
s4738,45,635
s8580,27,897
s1171,21,88
s5445,28,333
s352,37,983
s4837,24,46
s5408,47,967
s1918,42,886
s8400,32,182
s8372,20,787
s2309,16,510
s2065,12,394
s8778,13,156
s8363,21,765
s1432,16,396
s8786,40,843
s4137,42,947
s657,0,292
s3166,45,27
s7812,41,55
s135,37,665
s2968,41,333
s3899,28,618
s1272,12,584
s1924,43,617
s639,43,832
s6607,39,203
s5419,37,292
s4501,4,977
s3787,12,628
s5458,42,847
s7959,40,799
s394,1,619
s4241,21,935
s542,41,442
s3359,18,360
s3166,19,918
s4626,45,33
s3489,5,200
s7354,46,565
s2975,42,446
s8644,27,35
s7363,49,622
s8279,31,692
s4374,48,658
s115,39,824
s6942,33,702
s6818,17,421
s6572,26,935
s1904,33,404
s1947,2,797
s3029,29,188
s4724,46,415
s181,40,196
s2452,20,806
s4181,39,905
s1027,30,919
s6056,20,152
s3235,0,144
s6129,42,251
s8354,6,741
s5900,40,59
s588,17,52
s28,4,566
s6804,17,57
s5082,2,743
s4204,21,89
s707,13,431
s1409,3,489
s1837,32,997
s2890,18,511
s3186,12,390
s3291,11,210
s322,24,412
s3144,12,793
s4386,19,963
s4698,20,27
s552,29,18
s4987,44,760
s8442,3,76
s378,39,114
s2188,0,861
s5413,0,596
s2741,9,923
s5428,25,272
s4524,13,499
s7870,36,205
s5950,32,748
s7102,50,957
s1643,1,827
s4556,41,914
s4892,15,985
s7989,32,682
s3992,50,687
s5815,1,948
s5512,45,628
s7846,47,322
s878,33,564
s960,13,211
s5414,13,530
s7752,15,131
s4750,29,142
s5092,32,779
s5188,45,374
s4499,28,971
s5115,17,747
s8149,29,89
s6387,30,280
s6318,37,145
s8623,50,751
s2532,9,495
s7904,36,976
s6351,47,88
s1203,50,69
s3335,4,55
s6273,29,1000
s2031,14,361
s295,25,215
s2579,46,79
s6020,9,355
s5592,19,581
s5429,31,48
s6187,7,678
s3376,26,377
s4655,0,128
s3605,43,632
s4627,4,517
s454,27,600
s5002,24,63
s6631,41,783
s1981,16,824
s3672,44,373
s4965,24,3
s1415,15,864
s3851,29,59
s7409,11,75
s4342,17,118
s571,39,241
s5404,0,264
s7930,39,44
s2603,2,183
s2576,47,88
s3457,11,52
s3410,17,367
s4352,27,795
s5612,13,987
s25,26,14
s4988,0,271
s3069,22,22
s2439,21,881
s7346,38,237
s6306,2,753
s4706,3,29
s3186,32,40
s7191,3,97
s839,33,815
s3256,7,956
s7005,47,221
s1280,24,750
s6592,8,747
s3331,9,999
s6256,41,824
s5841,25,17
s5070,9,396
s3558,23,508
s2982,31,215
s7671,44,997
s3308,10,138
s4299,7,317
s267,28,504
s8240,38,267
s8227,10,956
s6804,37,298
s3593,27,736
s5758,13,347
s2950,38,124
s5284,7,539
s4142,14,380
s5279,15,630
s3193,14,477
s6537,24,931
s994,50,369
s7098,10,589
s2594,39,401
s376,12,908
s6293,44,169
s1666,17,462
s5188,11,34
s327,19,93
s1706,33,107
s6099,14,357
s7057,30,965
s4116,6,900
s1335,40,906
s7895,31,633
s85,31,775
s1358,2,250
s8478,8,259
s8234,27,973
s6820,16,719
s244,7,554
s5156,15,16
s3352,26,620
s8560,27,360
s2935,36,301
s4852,40,364
s72,17,226
s4748,46,571
s4169,48,252
s4564,43,755
s2985,5,236
s2292,14,410
s453,12,235
s7039,24,20
s5638,8,826
s6565,3,884
s6861,18,241
s5380,14,153
s1874,47,34
s648,12,497
s3683,1,919
s2177,28,130
s6712,30,92
s5213,20,830
s4890,27,173
s7066,45,853
s7776,13,648
s1818,4,940
s374,40,912
s5087,43,433
s4445,1,387
s1468,7,425
s8798,5,201
s1378,13,978
s6775,13,759
s2315,44,804
s4794,14,408
s2431,13,185
s1788,50,409
s7885,37,66
s8566,48,825
s5428,14,394
s2716,37,785
s7546,26,958
s3078,49,1
s449,46,163
s3808,13,703
s1316,8,826
s6171,16,646
s3654,38,716
s7568,33,105
s3428,13,101
s1735,10,879
s1269,12,524
s427,45,269
s8552,41,185
s2760,50,796
s4296,49,860
s613,39,640
s2404,48,949
s2928,4,897
s5626,29,551
s7722,31,671
s6250,46,319
s2475,6,295
s1292,49,739
s605,9,281
s8099,13,525
s3982,6,223
s1118,4,752
s1064,29,713
s7332,37,58
s3833,16,148
s5003,23,618
s718,13,367
s1938,6,736
s7485,15,127
s5278,17,75
s5966,49,221
s3712,5,210
s2627,32,204
s3826,25,189
s1490,7,653
s7517,36,745
s7249,15,743
s1268,5,163
s8702,9,231
s79,23,539
s3890,22,944
s8724,48,515
s2899,8,839
s5066,40,381
s6270,19,93
s4538,23,718
s7780,41,826
s5171,42,139
s3839,32,296
s7348,36,870
s7442,28,448
s6530,13,751
s5818,25,541
s2374,46,916
s2817,49,799
s6144,37,519
s4629,16,749
s3966,3,421
s4294,15,765
s1598,39,825
s3178,3,864
s2802,36,141
s7076,11,629
s6785,19,29
s2857,36,530
s3477,32,174
s7214,50,79
s3036,22,593
s187,31,331
s1202,14,129
s1289,44,430
s1292,40,87
s594,47,574
s2800,12,904
s7610,8,280
s1206,9,775
s6337,33,135
s1289,13,278
s1967,29,539
s2268,37,529
s5091,16,499
s3130,31,945
s6758,25,778
s4199,1,343
s5625,36,534
s3117,44,619
s6843,31,759
s1673,14,889
s4817,15,523
s4972,38,878
s971,8,224
s656,13,947
s4005,21,788
s4542,36,410
s6322,28,578
s7026,38,402
s8718,35,285
s531,46,471
s2606,4,45
s1850,10,661
s8480,1,151
s4216,15,784
s2466,36,248
s8588,14,232
s377,22,313
s8235,38,714
s4634,42,15
s1758,24,563
s6123,19,722
s4679,38,130
s2984,10,347
s5322,19,937
s6684,43,13
s1179,33,928
s967,5,321
s8009,14,320
s839,31,949
s4824,19,450
s6094,50,241
s1286,32,765
s1390,45,379
s1146,30,235
s1662,36,977
s8235,42,389
s7351,29,865
s5567,22,511
s8385,28,223
s1077,6,361
s6147,47,140
s3171,46,19
s2226,31,128
s7366,36,862
s3240,9,618
s8266,35,567
s2118,14,85
s2512,3,289
s416,28,988
s1632,6,122
s4055,46,327
s3321,38,857
s6816,2,746
s1030,23,315
s2738,50,636
s6776,29,998
s6174,38,13
s4385,4,59
s6297,30,594
s32,6,979
s3806,32,780
s696,50,984
s7388,17,832
s5739,10,152
s5415,25,19
s882,47,150
s5902,33,518
s3138,15,619
s6163,8,561
s2199,31,252
s3258,8,225
s1112,45,156
s471,6,131
s2205,25,627
s2173,32,64
s7988,26,176
s1413,35,819
s1485,36,890
s2735,16,302
s3784,46,507
s3077,27,990
s4184,20,127
s7536,39,617
s3711,19,963
s8587,27,817
s7745,41,338
s8747,14,268
s4902,36,203
s1015,8,165
s5496,12,332
s6720,23,893
s8663,4,861
s7788,1,343
s1741,21,472
s8795,26,881
s6643,39,774
s8156,29,925
s4601,24,245
s5105,21,557
s6961,3,23
s3992,37,837
s5910,3,803
s1183,45,378
s4450,21,444
s5924,33,437
s6527,24,266
s541,34,81
s1014,24,581
s7874,44,961
s2844,27,425
s486,46,689
s2706,49,471
s6129,32,359
s2063,30,791
s7199,46,85
s2755,19,254
s330,38,37
s1481,32,59
s8476,20,658
s7057,49,768
s3043,19,343
s2245,38,320
s3502,5,584
s1157,24,340
s6516,14,932
s629,37,593
s6721,36,481
s3223,30,980
s799,50,903
s5176,18,628
s8229,29,865
s5776,2,505
s8250,21,655
s2080,14,191
s4370,26,908
s7464,7,64
s6021,26,605
s4979,13,681
s3650,13,707
s2741,4,154
s7852,23,740
s663,33,283
s6797,4,963
s6097,34,78
s7087,38,841
s7969,8,624
s2148,44,625
s6603,2,136
s7437,37,83
s4596,11,613
s235,49,204
s7289,19,53
s8440,39,348
s5212,41,482
s3338,7,122
s787,19,330
s1651,10,762
s164,34,202
s2310,17,936
s2883,38,336
s8779,16,248
s1310,24,596
s3542,21,433
s4414,16,145
s1433,47,800
s7061,1,872
s2704,24,465
s4481,15,286
s4941,48,530
s8110,15,641
s4851,20,714
s5032,13,349
s1513,13,212
s7022,43,147
s6330,45,948
s4539,32,973
s4791,11,95
s6857,50,570
s8187,17,799
s8451,40,971
s1255,43,423
s8136,12,419
s5938,1,476
s5756,43,185
s8561,26,710
s7250,41,515
s1811,26,444
s3594,20,286
s732,15,788
s4166,23,857
s2375,20,722
s3701,36,554
s1008,3,939
s6690,36,352
s7153,8,382
s2048,17,835
s2401,8,832
s4259,50,913
s6972,10,125
s3539,7,915
s5157,11,952
s5411,36,511
s3820,38,365
s3442,36,560
s6783,8,674
s4521,16,106
s700,5,934
s1390,11,7
s4447,35,746
s7442,22,485
s7763,17,460
s6750,50,129
s6800,43,63
s3546,0,185
s5260,14,980
s1654,37,631
s643,38,634
s5456,30,338
s5700,41,633
s7048,28,379
s7201,0,619
s4573,20,695
s8208,4,2
s8398,9,772
s7106,32,14
s1640,47,795
s4361,8,933
s7296,38,937
s4049,8,797
s8493,30,605
s1508,19,777
s6048,18,326
s5707,30,962
s4027,32,595
s2956,48,322
s2242,48,497
s8148,27,458
s2810,26,610
s4090,25,185
s6780,4,545
s1294,28,970
s1465,15,343
s8645,49,565
s5375,13,411
s4109,47,402
s46,39,274
s3105,40,284
s1990,28,234
s5213,31,521
s2605,35,503
s5043,31,133
s7257,18,457
s3296,19,797
s2142,0,383
s6804,46,148
s4564,12,348
s1205,37,322
s3688,29,881
s7904,37,12
s4111,24,846
s7025,5,565
s6550,41,741
s4372,50,522
s2056,28,344
s5656,1,540
s5141,43,409
s2370,0,434
s3086,14,775
s2029,48,864
s3389,43,836
s1345,22,328
s1260,9,128
s3332,29,109
s7384,1,460
s2161,35,901
s590,31,753
s7978,35,809
s8658,43,157
s6388,46,54
s194,15,539
s5714,0,510
s7812,39,372
s8484,6,889
s5543,6,687
s1716,36,85
s8362,3,417
s287,0,706
s8723,2,690
s6811,28,212
s2887,0,50
s2802,41,76
s6297,15,374
s266,13,577
s7412,11,459
s5397,24,385
s7102,32,945
s8274,2,677
s5035,22,184
s6525,18,789
s1086,13,470
s5650,22,500
s8418,19,874
s1031,13,160
s2158,37,941
s6806,34,117
s580,13,576
s5742,21,664
s24,12,382
s4836,0,304
s1561,50,440
s6130,31,554
s5742,42,938
s6042,27,453
s611,46,857
s6163,8,955
s536,3,680
s2852,37,49
s7875,35,128
s3038,28,389
s1502,26,858
s4500,10,752
s2537,29,436
s1094,2,10
s5121,15,202
s2132,13,110
s1672,7,198
s3092,28,67
s5713,49,311
s3345,21,485
s4068,1,998
s2336,7,618
s2448,47,576
s2448,41,620
s1626,47,992
s5259,40,326
s2222,14,511
s1615,23,258
s4911,24,775
s6552,39,762
s6372,5,494
s8804,18,896
s5869,21,802
s4498,23,143
s6313,38,759
s4038,5,270
s8204,14,529
s1978,24,116
s7597,35,789
s3905,46,436
s411,4,141
s462,14,300
s3060,26,878
s7827,38,711
s8226,3,420
s2046,47,557
s6449,7,429
s8669,5,969
s445,12,695
s8190,49,742
s7433,6,852
s7450,23,703
s5473,0,227
s5492,19,434
s1343,20,145
s2464,12,819
s32,25,732
s4920,18,531
s8332,4,643
s5471,9,160
s1587,37,121
s5670,16,95
s932,6,613
s7010,16,221
s2353,4,76
s2017,17,298
s1568,21,189
s6428,37,595
s8243,49,938
s6206,27,37
s4250,31,435
s4993,17,324
s6869,4,661
s3663,8,363
s5666,28,247
s527,40,90
s171,30,407
s67,19,602
s8595,7,147
s5591,37,140
s7805,15,864
s7307,48,868
s8724,14,911
s6367,30,818
s6997,40,403
s7442,32,602
s5118,2,60
s1240,18,57
s5729,46,443
s5830,31,945
s2739,7,12
s7357,30,332
s1113,39,810
s7182,44,12
s3075,1,170
s3436,14,660
s1535,23,142
s6593,36,143
s4283,12,751
s5849,38,706
s2220,44,73
s1134,2,229
s1748,45,603
s8010,38,583
s3451,27,765
s5824,26,894
s3593,41,365
s7827,10,852
s3641,9,559
s1360,40,225
s6104,5,287
s6779,43,437
s760,7,983
s498,14,790
s6258,21,152
s7645,9,708
s2616,50,257
s7831,24,152
s6527,2,756
s102,47,666
s6789,6,671
s3642,46,167
s953,1,344
s5989,34,825
s5198,22,538
s786,32,363
s8640,33,697
s3815,49,198
s8293,1,588
s5972,36,867
s2180,7,732
s1736,11,10
s3415,43,630
s941,2,868
s3324,32,272
s8593,15,267
s5188,43,881
s7727,49,330
s38,40,75
s8172,23,852
s3300,5,85
s4958,20,798
s3014,16,517
s2183,30,809
s2914,23,269
s915,2,878
s8292,19,56
s6239,12,17
s7192,22,363
s194,10,421
s370,38,556
s3262,1,373
s4422,34,934
s5395,1,595
s104,35,27
s2030,25,538
s809,7,67
s7013,17,276
s540,15,772
s7647,6,566
s8623,22,30
s3570,10,158
s2238,9,904
s1018,12,903
s6519,40,140
s6445,26,356
s4142,40,450
s3775,49,926
s311,16,455
s8106,16,892
s3957,21,863
s7346,33,45
s3556,1,345
s2577,37,81
s4882,47,168
s3119,3,227
s7943,23,907
s1100,19,720
s2523,7,611
s7585,50,678
s5190,0,996
s7317,25,734
s1203,16,908
s5080,29,179
s2400,9,884
s7571,20,318
s3529,40,243
s3841,4,412
s941,1,393
s5160,8,776
s899,4,819
s7357,33,873
s5592,24,422
s2820,27,209
s659,4,306
s8425,35,58
s6413,8,479
s4564,0,358
s1888,50,193
s7347,12,982
s4321,19,449
s4214,22,906
s3439,38,471
s714,41,419
s546,3,491
s8038,47,102
s2439,12,624
s801,50,525
s6738,0,437
s3327,20,378
s462,22,377
s2728,49,159
s1911,6,908
s4372,13,454
s4194,35,134
s8062,47,21
s264,45,161
s6411,1,201
s1026,10,157
s1271,47,183
s453,34,918
s4562,29,439
s4361,19,81
s579,28,905
s2750,13,719
s4629,34,482
s8604,39,744
s2208,46,194
s4449,18,94
s361,31,774
s4415,7,199
s5332,15,428
s67,3,718
s1096,8,17
s403,34,844
s8118,21,831
s3857,9,72
s6175,23,360
s5242,16,521
s7169,13,302
s316,26,575
s8319,5,466
s5655,35,486
s3481,36,446
s3248,28,466
s6151,41,97
s544,2,228
s1914,30,818
s5195,17,778
s326,46,637
s7843,11,512
s8397,26,976
s358,30,443
s6283,0,168
s4779,13,710
s2224,38,936
s1204,46,527
s7192,20,357
s7438,33,64
s3954,21,785
s5471,26,770
s4720,37,776
s5896,11,70
s8049,5,303
s2301,3,654
s6008,6,845
s7290,20,563
s2255,46,205
s4811,12,980
s3138,7,296
s4354,19,769
s3893,24,143
s7069,31,484
s8691,43,563
s633,24,718
s5876,6,306
s4586,36,416
s8413,22,641
s4116,6,879
s420,30,953
s1055,27,23
s4106,4,201
s5021,8,459
s2260,9,881
s3322,13,799
s1615,50,875
s4655,9,405
s4776,49,971
s5397,34,508
s7442,48,924
s2311,19,34
s4984,45,60
s1959,12,638
s3860,13,555
s7001,41,714
s4727,19,450
s4646,38,987
s4659,13,108
s5506,18,786
s7151,33,670
s2954,32,981
s3461,1,333
s4189,22,538
s663,18,529
s645,31,196
s4312,43,666
s1363,13,947
s8321,26,43
s731,44,834
s8137,20,440
s7357,22,201
s5768,4,33
s898,3,366
s7621,39,687
s90,50,289
s1068,31,81
s6468,49,55
s452,29,604
s4925,17,835
s2561,40,74
s26,8,612
s4567,15,687
s6814,37,357
s2722,28,258
s361,32,738
s6256,26,121
s2477,24,82
s6286,41,521
s6576,28,39
s4451,33,564
s1315,27,171
s8301,18,340
s6461,21,763
s8731,4,65
s5030,35,93
s720,39,850
s8707,42,116
s2692,42,48
s1126,16,551
s6615,31,437
s5923,36,630
s2460,41,344
s3897,18,170
s5145,49,928
s7477,34,77
s345,2,320
s8295,18,107
s7280,20,255
s1134,43,136
s5397,48,611
s3612,21,620
s7267,37,889
s1704,43,290
s2771,45,530
s4678,23,208
s8711,49,192
s2047,24,233
s1604,46,820
s5641,50,945
s8282,42,412
s7596,49,473
s6267,40,237
s289,10,747
s2833,38,156
s2383,35,710
s6791,21,235
s6695,8,11
s1737,25,395
s2002,4,845
s2643,7,346
s7172,6,269
s7244,30,100
s7225,36,34
s2892,39,847
s6418,4,42
s6701,44,506
s3129,7,81
s184,31,431
s6879,12,393
s2746,10,373
s5461,25,649
s3901,27,684
s7047,28,153
s157,3,204
s430,41,103
s3827,38,414
s5262,32,26
s4646,41,639
s5636,48,862
s6039,39,93
s6392,18,827
s1850,45,328
s3943,5,553
s4508,23,175
s7584,24,406
s3162,9,721
s8066,47,847
s2116,3,73
s463,28,953
s7259,20,850
s4138,32,442
s5810,27,522
s230,12,688
s7573,31,507
s1113,11,918
s2634,32,562
s8461,10,957
s679,46,242
s1323,43,223
s2108,10,576
s8512,15,832
s420,3,457
s2908,0,415
s8784,24,794
s5191,2,289
s7189,17,491
s396,45,856
s7389,43,290
s1252,41,413
s774,15,842
s3037,17,492
s8638,1,133
s1829,17,336
s7249,35,915
s5567,8,864
s8804,0,237
s1871,26,195
s621,13,158
s6324,46,920
s6416,33,490
s963,25,928
s1851,43,120
s2379,43,176
s5626,50,873
s1960,22,276
s2298,16,256
s5918,40,621
s3658,41,897
s1870,30,776
s1541,0,980
s3475,44,566
s7884,30,885
s49,48,404
s2768,42,963
s6300,6,135
s1975,4,221
s196,38,438
s8392,30,86
s1131,42,344
s3042,4,371
s7034,4,294
s3448,5,417
s5404,46,529
s856,36,953
s5655,31,670
s8081,34,757
s3465,43,698
s2417,0,721
s6966,13,503
s3597,35,934
s4368,27,832
s4159,9,316
s3392,11,812
s391,11,199
s7439,15,235
s3185,7,711
s1864,32,33
s4497,0,622
s590,38,419
s6613,4,420
s5261,35,337
s7729,31,940
s7272,17,424
s1824,4,324
s565,47,162
s5058,34,602
s5425,40,671
s3787,26,565
s3467,40,601
s1523,26,279
s4189,30,186
s7857,29,606
s6462,16,113
s4158,4,757
s7536,4,144
s4410,1,495
s8314,30,810
s3464,18,4
s997,13,263
s3249,49,23
s2282,6,334
s8530,36,576
s954,15,543
s7310,24,893
s7345,21,606
s885,42,159
s1788,33,476
s5486,8,369
s3002,33,981
s7714,31,994
s7667,27,305
s4281,13,971
s1462,0,800
s4328,18,418
s6017,46,506
s1974,11,258
s5005,44,535
s1236,33,383
s173,33,697
s5643,2,143
s3327,50,456
s6171,0,684
s3588,39,122
s1594,14,191
s3933,38,584
s1461,2,25
s1983,42,934
s4966,10,797
s3776,16,835
s7336,33,485
s1727,45,758
s2059,32,330
s6137,36,905
s5654,26,271
s4753,8,664
s6790,40,118
s7662,44,358
s8135,19,597
s5686,0,775
s5978,10,688
s5006,29,645
s4563,48,275
s6564,50,461
s7659,35,112
s7894,48,470
s828,4,73
s3506,7,739
s1208,36,517
s4100,26,962
s5798,25,674
s3903,2,827
s859,4,299
s5025,6,357
s2584,43,643
s4465,4,194
s853,36,167
s7055,32,569
s698,32,875
s212,49,590
s5138,11,128
s8313,5,496
s6302,44,569
s7112,20,788
s2456,1,515
s4109,39,844
s2450,29,323
s2625,46,658
s2785,11,590
s8432,35,78
s5,43,823
s1674,29,982
s3022,20,377
s1251,1,444
s172,21,795
s8704,35,653
s1149,32,430
s2618,5,645
s5389,35,281
s3406,43,157
s6538,9,629
s8463,6,588
s2321,20,658
s2389,35,108
s7507,0,74
s2075,19,364
s1269,13,520
s5560,48,590
s2461,37,870
s7153,43,204
s4635,32,976
s4374,0,734
s4278,30,461
s1007,23,812
s2605,13,611
s558,22,379
s7893,28,917
s6022,31,553
s1632,22,412
s3886,38,120
s2818,20,894
s2160,3,710
s8166,5,836
s8418,3,226
s5923,28,485
s3232,27,605
s2908,47,77
s971,17,488
s5446,9,386
s3274,7,806
s7884,43,463
s8444,5,69
s790,33,204
s429,14,67
s2035,25,240
s5620,4,798
s6972,23,850
s5025,35,317
s660,21,668
s8389,36,898
s5573,14,840
s2715,32,428
s6477,48,290
s4007,20,87
s1441,17,542
s1384,46,501
s785,42,362
s5265,8,378
s6749,20,30
s50,17,619
s4465,25,715
s5696,24,742
s1542,18,170
s7033,4,892
s3904,34,184
s2846,2,950
s6293,46,101
s173,11,804
s244,44,942
s4110,25,286
s467,34,354
s3565,49,889
s4138,39,503
s8457,19,371
s857,41,533
s6439,24,786
s6094,15,232
s8442,13,270
s6755,18,117
s7610,42,245
s5811,13,802
s5967,9,699
s5033,18,998
s6313,49,145
s760,42,463
s781,0,764
s2143,25,860
s6672,22,17
s690,38,716
s4698,22,638
s117,27,946
s7656,49,754
s6190,35,798
s6054,21,636
s6094,11,117
s3886,39,790
s5933,22,301
s4284,25,637
s4880,29,171
s2927,47,503
s5302,31,361
s4502,2,365
s2851,35,998
s7706,42,474
s6844,7,252
s6829,9,274
s5491,33,636
s1717,39,893
s7073,43,731
s1806,15,995
s5917,9,451
s5022,22,13
s975,32,772
s7455,38,84
s443,7,453
s7858,10,737
s2343,36,899
s7666,32,832
s49,29,635
s3457,19,585
s3364,46,585
s3308,15,508
s8124,3,210
s5072,17,705
s6367,46,711
s8329,5,966
s4406,1,109
s7874,44,237
s4746,44,788
s7357,19,630
s6866,2,610
s820,13,821
s2968,32,530
s6838,1,580
s7831,48,524
s2328,45,42
s5213,12,591
s5232,48,728
s8610,31,754
s8761,0,203
s1889,1,451
s6444,37,684
s3112,37,545
s707,19,851
s8791,15,251
s2979,22,477
s6362,20,843
s2401,10,397
s7047,11,2
s5530,20,603
s6568,24,779
s5739,25,763
s7078,5,459
s4382,14,728
s3662,16,523
s4179,7,140
s7305,19,77
s3342,1,186
s343,40,345
s2294,24,632
s3451,38,412
s4629,7,874
s8588,18,299
s303,43,556
s8545,16,523
s4951,47,262
s8238,19,960
s7171,12,119
s6209,26,874
s1599,3,409
s3361,39,617
s7971,35,631
s4551,13,524
s4944,7,363
s5140,19,526
s3855,18,896
s619,11,612
s901,19,702
s2059,17,744
s5186,29,471
s7194,41,142
s7340,12,937
s20,19,609
s3409,45,138
s6171,39,561
s4249,24,762
s5240,19,660
s919,16,88
s6993,47,563
s2705,44,348
s5917,5,70
s5060,0,84
s3588,34,223
s3249,50,427
s7628,10,89
s6382,9,708
s8195,20,76
s7161,12,122
s4235,29,955
s5237,27,100
s5347,25,173
s6802,43,610
s1524,18,561
s5584,46,112
s100,4,730
s5458,37,697
s2524,40,150
s8494,42,192
s2697,42,353
s8563,18,708
s530,44,482
s1079,30,32
s3260,48,784
s5650,39,696
s4313,41,701
s8579,17,69
s2772,1,854
s5740,17,807
s8769,42,369
s8018,38,197
s997,0,176
s8752,20,810
s5303,40,638
s740,37,993
s2874,44,141
s34,45,706
s8686,25,977
s1378,6,454
s2337,15,126
s3685,11,96
s4482,7,912
s8356,21,356
s3264,27,602
s3878,48,633
s4596,32,110
s4835,7,398
s683,40,573
s8701,2,298
s5470,35,159
s119,27,452
s6586,19,602
s5907,47,270
s4388,50,802
s5229,31,710
s6688,10,577
s7936,33,891
s4218,13,861
s5282,23,309
s5875,19,78
s4654,28,515
s306,0,478
s8247,33,122
s2253,23,762
s7485,9,243
s1358,21,559
s593,8,273
s4097,37,388
s3914,25,183
s3431,33,635
s8604,4,443
s23,3,900
s7397,45,636
s8722,27,695
s290,49,734
s1097,36,855
s1560,13,738
s5420,31,835
s1791,13,15
s7352,12,910
s5087,25,341
s6249,46,758
s5249,38,68
s1364,38,149
s5491,9,159
s6931,50,202
s7976,29,792
s7657,35,685
s7094,43,701
s4207,1,634
s5130,47,487
s586,49,67
s5136,16,616
s3154,41,669
s7700,37,30
s1262,1,243
s3875,18,48
s6430,19,659
s4250,1,558
s5753,18,47
s5456,44,137
s4014,27,640
s2081,26,885
s839,15,365
s1273,7,980
s419,35,715
s8747,27,953
s5676,46,574
s7821,22,272
s6330,9,385
s4676,44,725
s4892,24,385
s113,35,111
s2658,10,515
s820,6,737
s112,28,995
s3515,21,167
s8704,19,74
s3672,24,784
s3468,17,156
s7558,30,523
s7678,12,94
s1485,3,840
s2862,46,271
s6860,28,837
s1212,10,626
s7747,2,9
s5986,7,163
s6624,22,914
s37,24,163
s5469,8,295
s6421,15,161
s4793,50,938
s1541,37,698
s3896,40,44
s7314,44,943
s37,46,735
s3808,14,488
s5840,23,677
s6395,3,2
s246,31,267
s2349,18,861
s4093,47,367
s1666,26,424
s6158,44,248
s5452,26,498
s6304,38,489
s1340,14,364
s6350,39,522
s8606,40,14
s1507,22,634
s3351,2,96
s2848,0,829
s7196,30,439
s5274,13,450
s6895,40,815
s1200,50,685
s2705,35,444
s1477,18,911
s3493,7,516
s3862,16,999
s8572,4,211
s1146,35,522
s4944,1,419
s5402,14,996
s4591,11,847
s4009,43,617
s1973,26,686
s5273,35,754
s8171,25,389
s1668,15,104
s5081,32,803
s3780,45,1
s933,47,464
s5902,5,678
s4378,36,299
